ID,Facility Name,Province,Facility Type,District,sub District
1,Afsondering,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
2,Elukholweni,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
3,Isilindini,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
4,Likhetlane,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
5,Magadla,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
6,Maluti CHC,Eastern Cape,Community Health Centre,Alfred Nzo District Municipality,Maluti SD
7,Matatiele Mun Clinic,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
8,Mt Hargreaves,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
9,Mvenyane,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
10,Mzongwana,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
11,Ntlola,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
12,Nyaniso,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
13,Paballong,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
14,Queen's Mercy,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
15,Rolweni,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
16,Shepherds Hope,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
17,T Bequest Gateway (Mat),Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
18,T Bequest Hosp (Mat),Eastern Cape,District Hospital,Alfred Nzo District Municipality,Maluti SD
19,Thabachicha,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
20,Umtumase,Eastern Cape,Clinic,Alfred Nzo District Municipality,Maluti SD
21,Cancele,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
22,Dundee,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
23,Dungu,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
24,Lubaleko,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
25,Lugangeni,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
26,Luyengweni,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
27,Machibini (Kwab),Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
28,Madzikane ka Zulu Hosp,Eastern Cape,District Hospital,Alfred Nzo District Municipality,Umzimvubu SD
29,Mangqamzeni,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
30,Mapheleni,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
31,Matubeni,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
32,Mhlotsheni,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
33,Mkemane,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
34,Mnceba,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
35,Mntwana,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
36,Mpoza Mt Frere,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
37,Mt Ayliff Hosp,Eastern Cape,District Hospital,Alfred Nzo District Municipality,Umzimvubu SD
38,Mt Ayliff PHC,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
39,Mt Frere PHC,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
40,Mwaca,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
41,Ndawenzima,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
42,Ntlabeni,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
43,Ntsizwa,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
44,Qaqa,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
45,Qwidlana,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
46,Rode,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
47,Sigidi,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
48,Sipetu Hosp,Eastern Cape,District Hospital,Alfred Nzo District Municipality,Umzimvubu SD
49,Sipetu PHC,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
50,Ntabankulu,Eastern Cape,Community Health Centre,Alfred Nzo District Municipality,Umzimvubu SD
51,Tela,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
52,Tshungwana,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
53,Zulu,Eastern Cape,Clinic,Alfred Nzo District Municipality,Umzimvubu SD
54,Amabele,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
55,Bolo,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
56,Burnshill,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
57,Cata,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
58,Cathcart Clinic,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
59,Cathcart Hosp,Eastern Cape,District Hospital,Amathole DM,Amahlathi SD
60,Cumakala 1,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
61,Cumakala 2,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
62,Daliwe,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
63,Dohne,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
64,Donnington,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
65,Ethembeni,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
66,Frankfort,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
67,Gxulu,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
68,Kati-Kati,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
69,Khuze Clinic,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
70,Kubusi,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
71,L Zingcuka,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
72,Lenye,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
73,Masincedane,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
74,Mgwali,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
75,Mxalanga,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
76,Ntaba ka Ndoda,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
77,Philani Clinic,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
78,Qwilqwili,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
79,Rabula,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
80,SS Gida Gateway,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
81,SS Gida Hosp,Eastern Cape,District Hospital,Amathole DM,Amahlathi SD
82,St Matthew's,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
83,Stutterheim Clinic,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
84,Stutterheim Hosp,Eastern Cape,District Hospital,Amathole DM,Amahlathi SD
85,Tyutyu Village,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
86,Wartburg,Eastern Cape,Clinic,Amathole DM,Amahlathi SD
87,Alphendale,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
88,Amahleke,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
89,Amatola TB,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
90,Aspiranza,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
91,Beacon Bay,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
92,Berlin,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
93,Bhele,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
94,Bhisho Gateway,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
95,Bhisho Hosp,Eastern Cape,District Hospital,Amathole DM,Buffalo City SD
96,Bhisho Parl Clinic,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
97,Braelyn Clinic,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
98,Braelyn Ext,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
99,Breidbach,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
100,Bulembu,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
101,C Makiwane Hosp,Eastern Cape,Regional Hospital,Amathole DM,Buffalo City SD
102,Cambridge,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
103,Chris Hani Clinic,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
104,Cwili,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
105,D Village CHC,Eastern Cape,Community Health Centre,Amathole DM,Buffalo City SD
106,Dimbaza CHC,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
107,Drake Road,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
108,EL Central,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
109,EL NU 12,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
110,EL NU 13,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
111,EL NU 16,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
112,EL NU 17,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
113,EL NU 2,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
114,Empilweni CHC,Eastern Cape,Community Health Centre,Amathole DM,Buffalo City SD
115,Fezeka NU 3,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
116,Fort Grey,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
117,Frere Gateway,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
118,Frere Hosp,Eastern Cape,Regional Hospital,Amathole DM,Buffalo City SD
119,Ginsberg,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
120,Glenmore,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
121,Gompo A Ndende,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
122,Gompo B Jwayi,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
123,Gompo C Jabavu,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
124,Gonubie,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
125,Greenfields,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
126,Grey Hosp,Eastern Cape,District Hospital,Amathole DM,Buffalo City SD
127,Gwabeni,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
128,Hamburg,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
129,Horton,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
130,Ilita,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
131,Imidange,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
132,Jafta,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
133,Jaji,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
134,Jama,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
135,John Dube,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
136,Komga CHC,Eastern Cape,Community Health Centre,Amathole DM,Buffalo City SD
137,Komga Hosp,Eastern Cape,District Hospital,Amathole DM,Buffalo City SD
138,Komga Rural,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
139,Komga Town,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
140,Kwelera,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
141,KWT Central,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
142,Luyolo NU 9,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
143,Masakhane (Zwe),Eastern Cape,Clinic,Amathole DM,Buffalo City SD
144,Masele,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
145,Matomela,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
146,Mdingi,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
147,Mkanyisi,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
148,Mncotsho,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
149,Mooiplaas,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
150,Moore Street,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
151,Mpongo,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
152,Mt Coke Clinic,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
153,Mtombe,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
154,Mtyholo,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
155,Ncera,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
156,Ndevana,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
157,Ndwayana Clinic,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
158,Needs Camp,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
159,Newlands,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
160,Ngqwele,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
161,Nier Clinic,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
162,Nobuhle NU 8,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
163,Nompumelelo Hosp,Eastern Cape,District Hospital,Amathole DM,Buffalo City SD
164,Noncampa,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
165,Nontyatyambo,Eastern Cape,Community Health Centre,Amathole DM,Buffalo City SD
166,Norah,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
167,Openshaw,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
168,Pakamisa,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
169,Peddie Ext,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
170,Peelton,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
171,Pefferville,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
172,Petros Jobane,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
173,Philani NU 1,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
174,Pikholi,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
175,Pirie,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
176,Potsdam,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
177,Punzana,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
178,Qurhu,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
179,R Mbelekana,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
180,Shornville,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
181,Soto,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
182,St Thomas,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
183,Sweetwaters,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
184,Tamara,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
185,Tembisa NU 7,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
186,Tshabo,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
187,Tshatshu,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
188,Twecu,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
189,Tyamzashe,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
190,Tyutyu Clinic,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
191,Welcomewood,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
192,Wesley,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
193,Zalara,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
194,Zanempilo (EL),Eastern Cape,Clinic,Amathole DM,Buffalo City SD
195,Zanempilo (Zwel),Eastern Cape,Clinic,Amathole DM,Buffalo City SD
196,Zikhova,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
197,Zingisa NU 5,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
198,Zwelitsha Zone 5,Eastern Cape,Clinic,Amathole DM,Buffalo City SD
199,Badi,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
200,Bolotwa (Idutywa),Eastern Cape,Clinic,Amathole DM,Mbhashe SD
201,Bomvana,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
202,Fort Malan,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
203,Gwadana,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
204,Gwadu,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
205,Hobeni Clinic,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
206,Idutywa Nqabara,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
207,Idutywa Village,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
208,Jingqi,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
209,Kotyana Clinic,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
210,Kwa-Mkholoza,Eastern Cape,Clinic,Amathole DM,Mbhashe SD
